Class,Precision,Recall,F1-Score,Support
Bean,0.9909,1.0000,0.9954,109
Beef,1.0000,1.0000,1.0000,451
Bitter_Gourd,1.0000,1.0000,1.0000,102
Bottle_Gourd,1.0000,1.0000,1.0000,91
Brinjal,1.0000,0.9877,0.9938,81
Broccoli,1.0000,1.0000,1.0000,97
Cabbage,0.9908,1.0000,0.9954,108
Capsicum,0.0000,0.0000,0.0000,86
Carrot,0.0000,0.0000,0.0000,102
Cauliflower,0.0000,0.0000,0.0000,90
Cucumber,0.0000,0.0000,0.0000,93
Lemongrass,0.0000,0.0000,0.0000,51
Papaya,0.0000,0.0000,0.0000,102
Potato,0.0000,0.0000,0.0000,92
Pumpkin,0.0000,0.0000,0.0000,90
Radish,0.0000,0.0000,0.0000,101
Tomato,0.0000,0.0000,0.0000,97
chilli pepper,1.0000,1.0000,1.0000,9
eggplant,0.8333,1.0000,0.9091,10
garlic,1.0000,1.0000,1.0000,10
ginger,0.8333,1.0000,0.9091,10
onion,1.0000,1.0000,1.0000,10
Weighted Avg,0.5435,0.5457,0.5445,1992
