date,premise_code,item_code,price
2026-06-02,351,1,7.85
2026-06-02,351,47,6.99
2026-06-02,351,92,8.49
2026-06-02,351,93,6.99
2026-06-02,351,95,5.25
2026-06-02,351,96,6.76
2026-06-02,351,98,9.16
2026-06-02,351,104,1.35
2026-06-02,351,105,3.99
2026-06-02,351,108,5.99
2026-06-02,351,109,1.99
2026-06-02,351,113,4.89
2026-06-02,351,114,3.99
2026-06-02,351,129,3.99
2026-06-02,351,845,25.99
2026-06-02,351,1109,13.49
2026-06-02,351,1110,11.49
2026-06-02,351,1111,10.49
2026-06-02,351,1131,2.29
2026-06-02,351,1132,12.45
2026-06-02,351,1440,1.55
2026-06-02,351,1481,4.15
2026-06-02,351,1555,29.99
2026-06-02,351,1556,4.99
2026-06-02,351,1558,3.89
2026-06-02,351,1559,3.99
2026-06-02,351,1564,6.99
2026-06-02,351,1819,7.99
2026-06-02,351,1916,31.99
2026-06-02,351,1926,8.89
2026-06-02,351,1927,7.89
2026-06-02,351,1928,9.58
2026-06-02,351,2047,10.99
2026-06-02,351,2086,3.69
2026-06-02,354,1,9.8
2026-06-02,354,47,8.0
2026-06-02,354,55,6.0
2026-06-02,354,70,12.0
2026-06-02,354,88,9.0
2026-06-02,354,93,15.0
2026-06-02,354,95,8.0
2026-06-02,354,96,7.0
2026-06-02,354,97,8.0
2026-06-02,354,98,6.0
2026-06-02,354,104,3.5
2026-06-02,354,108,10.0
2026-06-02,354,109,4.0
2026-06-02,354,113,3.0
2026-06-02,354,114,6.5
2026-06-02,354,129,4.0
2026-06-02,354,131,7.0
2026-06-02,354,845,30.0
2026-06-02,354,847,42.0
2026-06-02,354,1109,13.8
2026-06-02,354,1131,4.0
2026-06-02,354,1132,10.0
2026-06-02,354,1436,10.0
2026-06-02,354,1440,4.0
2026-06-02,354,1442,5.0
2026-06-02,354,1458,4.5
2026-06-02,354,1475,40.0
2026-06-02,354,1476,12.0
2026-06-02,354,1481,7.0
2026-06-02,354,1555,26.0
2026-06-02,354,1556,4.5
2026-06-02,354,1558,4.5
2026-06-02,354,1559,4.0
2026-06-02,354,1560,6.0
2026-06-02,354,1564,12.0
2026-06-02,354,1819,9.0
2026-06-02,354,1916,28.0
2026-06-02,354,1921,16.0
2026-06-02,354,1926,10.0
2026-06-02,354,1927,16.0
2026-06-02,354,1928,8.0
2026-06-02,354,2045,8.0
2026-06-02,354,2047,12.0
2026-06-02,354,2086,5.0
2026-06-02,368,1,9.5
2026-06-02,368,47,11.99
2026-06-02,368,70,15.99
2026-06-02,368,88,9.99
2026-06-02,368,92,4.99
2026-06-02,368,93,11.9
2026-06-02,368,95,7.9
2026-06-02,368,105,2.9
2026-06-02,368,108,8.9
2026-06-02,368,109,2.5
2026-06-02,368,114,4.99
2026-06-02,368,129,2.99
2026-06-02,368,845,32.99
2026-06-02,368,1109,13.99
2026-06-02,368,1110,12.5
2026-06-02,368,1132,8.9
2026-06-02,368,1442,2.5
2026-06-02,368,1481,8.9
2026-06-02,368,1555,29.99
2026-06-02,368,1556,8.9
2026-06-02,368,1558,6.99
2026-06-02,368,1559,7.9
2026-06-02,368,1560,6.99
2026-06-02,368,1564,7.9
2026-06-02,368,1819,11.9
2026-06-02,368,1926,9.9
2026-06-02,368,1927,10.9
2026-06-02,368,1928,7.9
2026-06-02,368,2045,12.99
2026-06-02,368,2086,5.99
2026-06-02,368,2087,7.9
2026-06-02,382,1,8.5
2026-06-02,382,47,10.0
2026-06-02,382,88,10.0
2026-06-02,382,92,11.9
2026-06-02,382,93,6.99
2026-06-02,382,95,4.99
2026-06-02,382,96,15.9
2026-06-02,382,97,6.9
2026-06-02,382,104,1.99
2026-06-02,382,108,9.9
2026-06-02,382,109,2.49
2026-06-02,382,113,3.49
2026-06-02,382,114,7.9
2026-06-02,382,129,1.99
2026-06-02,382,845,38.0
2026-06-02,382,847,35.0
2026-06-02,382,1109,13.9
2026-06-02,382,1110,11.9
2026-06-02,382,1132,7.99
2026-06-02,382,1436,18.0
2026-06-02,382,1440,3.9
2026-06-02,382,1458,3.9
2026-06-02,382,1476,19.0
2026-06-02,382,1481,8.59
2026-06-02,382,1555,33.0
2026-06-02,382,1558,4.99
2026-06-02,382,1559,7.9
2026-06-02,382,1560,7.5
2026-06-02,382,1564,6.99
2026-06-02,382,1819,8.99
2026-06-02,382,1926,10.9
2026-06-02,382,1927,6.99
2026-06-02,382,1928,10.9
2026-06-02,382,2045,12.99
2026-06-02,382,2047,13.0
